   9 time slots
  35 tutors
	Mo 08-10	Mo 10-12	Mo 12-14	Mo 14-16	Mo 16-18	Mo 18-20	Mo 20-22	Mo 22-24	Di 08-10
Abel		OK						OK	
Abigail					OK				OK
Abner				OK	OK				OK
Abraham	OK	OK				OK	OK	OK	
Acacia		OK	OK	OK	OK				
Ada				OK	OK				OK
Adelaide			OK	OK	OK			OK	
Adeline			OK				OK	OK	
Aiden			OK	OK	OK			OK	
Alec	OK		OK	OK	OK		OK	OK	
Alexa				OK	OK		OK	OK	
Alexander		OK	OK				OK	OK	OK
Alistair		OK						OK	
Amelia							OK	OK	
Amias	OK				OK				
Amory			OK		OK			OK	OK
Amos	OK		OK						OK
Anais			OK		OK				
Anastasia	OK	OK		OK			OK	OK	
Anderson		OK		OK			OK		
Angelina		OK						OK	
Anna	OK	OK						OK	OK
Annabel	OK				OK				OK
Antonia	OK					OK			DUH
Arabella	OK	OK					OK		
Archer					OK				OK
Arden				OK	OK				OK
Arianna	OK	OK				OK	OK	OK	
Ariel		OK	OK	OK	OK				
Arlo				OK	OK				OK
Arthur			OK	OK	OK			OK	
Asa			OK				OK	OK	
Asher			OK	OK	OK			OK	
Ashton	OK		OK	OK	OK		OK	OK	
Atticus				OK	OK		OK	OK	
